"GSM1220074" "GSM1220075" "GSM1220076" "GSM1220083" "GSM1220103" "GSM1220104" "GSM1220105" "GSM1220106" "GSM319718" "GSM319738" "GSM319743" "GSM319745" "GSM319746" "GSM319748" "GSM319809" "GSM319811" "GSM319813"
"ABCC9" 4.42903186483065 4.75211220943272 4.64953288444556 5.22988663593688 5.03857378243508 4.56964252379107 4.51581929792532 4.56964938507908 5.85403959437476 5.28968881825273 5.26339654773881 5.48921803851051 4.70023842558189 5.50157740469329 3.86133562145068 4.01345148750379 5.83532990062774
"ABCD1" 6.72769648431218 6.12649348190244 6.13354999188363 7.90667325485289 7.29534642939668 6.93331629380894 6.88366579585383 7.28824348808316 7.22933006684917 7.38179655850306 7.01089498942594 7.0173147645909 6.6190149220166 6.42889662414494 7.68926283103299 6.74491731579527 7.1312759003308
"ABCD3" 7.46935383806535 8.90404756489862 8.80916451584288 7.33430463144676 7.21281813750411 7.67204497061529 8.38916799920835 7.56392618569351 9.00860404302406 8.69559312607292 8.17780402951094 8.24235099648948 7.58381854582636 8.61084444113235 8.31513475986394 8.33544675016765 8.67739362213654
"ABCE1" 8.26224784151233 8.35448832886793 8.58711052394519 6.46966714021059 8.0931551063037 8.53618069468131 8.00667507102452 7.95330401086276 8.56158950487981 8.34676097360974 8.30530337511186 9.09728216649689 9.17380770649335 9.20681281919897 8.40160285296671 8.78832239315553 8.55252710340969
"ABCF1" 8.89511813161296 9.27888213427536 9.07430102943141 9.64716194817621 8.56837689164669 8.57274192647848 9.21810447008269 8.66578797046788 9.21702113023548 9.51065011422987 9.30678912812519 8.97532656448999 8.68763915543158 9.50047921580294 9.3167687224167 8.67440563346939 9.28559970117084
"ABCF2" 7.16242675602984 7.44024977188253 7.74109838915032 7.99903924632651 6.88931502037857 7.81216995808179 7.10621261089277 7.19787230218161 7.68431731062919 6.30236130561901 6.09838811088814 6.60020932354262 7.79794092463612 6.44912650340514 7.10290849840287 7.30103414728817 6.87218591450483
"ABCF3" 7.24196290424589 7.53200529657155 7.57843755819232 8.2407267899464 7.70615932665345 6.99856539334823 6.76699307179359 7.50879166436626 7.43623262016484 7.27599971355052 7.14494225963837 7.41789223446366 6.45615970830175 7.51804971463263 7.28828071643065 7.58103378540364 7.29131563318533
"ABCG1" 8.17017930317006 7.41960317106284 7.04142751069051 7.76083889728025 8.03008079235739 8.92120853455063 8.61857715503579 6.36162968722428 6.72890948258227 6.59733764117851 7.03973968417905 7.06073691327705 7.12438556743077 6.19897943327294 6.89583284094184 7.55986679211615 6.84645349491984
"ABCG2" 5.1873766622537 5.77403654949837 5.46774635154241 5.49325376359579 4.98372651135376 5.51876429285048 5.90178252876753 5.74849596529276 5.40967827644987 5.26341675422168 5.61655658370333 6.21744100962177 6.86226838773734 4.75186740574215 5.63387507621443 6.45561412686458 6.96662756186146
"ABHD10" 8.1658095020442 7.28231800498724 6.55464484166089 6.87966554415433 7.96423415049164 7.35977882112225 7.09644725917553 7.08096036917283 7.2904126465073 7.71141782642628 7.63269751586957 7.42482163347468 8.23126946525659 7.86393456224332 7.61204889895944 8.37341094510974 7.65068492502545
